Name	Aura	Caster Level	Slot	Price	Weight	Description	Construction
Portable Hole	strong conjuration	12th	-	20,000 gp	-	A portable hole is a circle of cloth spun from the webs of a phase spider interwoven with strands of ether and beams of starlight, resulting in a portable extradimensional space. When opened fully, a portable hole is 6 feet in diameter, but it can be folded up to be as small as a pocket handkerchief. When spread upon any surface, it causes an extradimensional space 10 feet deep to come into being. This hole can be picked up from inside or out by simply taking hold of the edges of the cloth and folding it up. Either way, the entrance disappears, but anything inside the hole remains, traveling with the item.  The only air in the hole is that which enters when the hole is opened. It contains enough air to supply one Medium creature or two Small creatures for 10 minutes. The cloth does not accumulate weight even if its hole is filled. Each portable hole opens on its own particular nondimensional space. If a bag of holding is placed within a portable hole, a rift to the Astral Plane is torn in that place. Both the bag and the cloth are sucked into the void and forever lost. If a portable hole is placed within a bag of holding, it opens a gate to the Astral Plane. The hole, the bag, and any creatures within a 10-foot radius are drawn there, the portable hole and bag of holding being destroyed in the process.	Craft Wondrous Item, plane shift; Cost 10,000 gp
Restorative Ointment	faint conjuration	5th	-	4,000 gp	1/2 lb	A jar of this unguent is 3 inches in diameter and 1 inch deep, and contains five applications. Placed upon a poisoned wound or swallowed, the ointment detoxifies any poison (as neutralize poison with a +5 bonus on the check). Applied to a diseased area, it removes disease (as remove disease with a +5 bonus on the check). Rubbed on a wound, the ointment cures 1d8+5 points of damage (as cure light wounds)	Craft Wondrous Item, cure light wounds, neutralize poison, remove disease; Cost 2,000 gp
Ring Gates	strong conjuration	17th	-	40,000 gp	1 lb each	These always come in pairs—two iron rings, each about 18 inches in diameter. The rings must be on the same plane of existence and within 100 miles of each other to function. Whatever is put through one ring comes out the other, and up to 100 pounds of material can be transferred each day. (Objects only partially pushed through and then retracted do not count.) This useful device allows for instantaneous transport of items or messages, and even attacks. A character can reach through to grab things near the other ring, or even stab a weapon through if so desired. Alternatively, a character could stick his head through to look around. A spellcaster could even cast a spell through a ring gate. A Small character can make a DC 13 Escape Artist check to slip through. Creatures of Tiny, Diminutive, or Fine size can pass through easily. Each ring has an “entry side” and an “exit side,” both marked with appropriate symbols	Craft Wondrous Item, gate; Cost 20,000 gp
Robe of the Archmagi	strong varied	14th	body	75,000 gp	1 lb	This normal-appearing garment can be white (01–45 on d%, good alignment), gray (46–75, neither good nor evil alignment), or black (76–100, evil alignment). To most wearers, the robe offers no powers or has no effects unless the wearer's alignment doesn't match that of the robe (see below). Only an arcane spellcaster can fully realize this potent magic item's powers once the robe is donned. These powers are as follows.  +5 armor bonus to AC. Spell resistance 18. +4 resistance bonus on all saving throws. +2 enhancement bonus on caster level checks made to overcome spell resistance. As mentioned above, all robes of the archmagi are attuned to a specific alignment. If a white robe is donned by an evil character, she immediately gains three permanent negative levels. The same is true with respect to a black robe donned by a good character. An evil or good character who puts on a gray robe, or a neutral character who dons either a white or black robe, gains two permanent negative levels. While these negative levels remain as long as the garment is worn and cannot be overcome in any way (including restoration spells), they are immediately removed if the robe is removed.	Craft Wondrous Item, antimagic field, mage armor or shield of faith, creator must be of same alignment as robe; Cost 37,500 gp
Robe of Blending	moderate transmutation	10th	body	8,400 gp	1 lb	Once per day this simple wool robe allows you to assume the form of another humanoid creature, as if using alter self. This change lasts for 1 hour, although you can end it prematurely as a free action. While in this form, you also gain the ability to speak and understand the basic racial languages of your chosen form. For example, if you take the form of an orc, you can speak and understand Orc.	Craft Wondrous Item, alter self, tongues; Cost 4,200 gp
Robe of Bones	moderate necromancy [evil]	6th	body	2,400 gp	1 lb	This sinister item functions much like a robe of useful items for the serious necromancer. It appears to be an unremarkable robe, but a character who dons it notes that it is adorned with small embroidered figures representing undead creatures. Only the wearer of the robe can see the embroidery, recognize them for the creatures they become, and detach them. One figure can be detached each round. Detaching a figure causes it to become an actual undead creature (see the list below). The skeleton or zombie is not under the control of the wearer of the robe, but may be subsequently commanded, rebuked, turned, or destroyed. A newly created robe of bones always has two embroidered figures of each of the following undead:  Human skeleton Wolf skeleton Heavy horse skeleton Fast goblin zombie Tough human zombie Plague ogre zombie	Craft Wondrous Item, animate dead; Cost 1,200 gp
Robe of Eyes	moderate divination	11th	body	120,000 gp	1 lb	This valuable garment appears to be a normal robe until it is put on. Its wearer is able to see in all directions at the same moment due to scores of visible, magical eye-like patterns that adorn the robe. She also gains 120-foot darkvision.  The robe of eyes sees all forms of invisible or ethereal creatures or objects within 120 feet.  The wearer of a robe of eyes gains a +10 competence bonus on Perception checks. She retains her Dexterity bonus to AC even when flat-footed, and can't be flanked. She is not able to avert or close her eyes when confronted by a creature with a gaze attack.  A light or continual flame spell cast directly on a robe of eyes causes it to be blinded for 1d3 minutes. A daylight spell blinds it for 2d4 minutes.	Craft Wondrous Item, true seeing; Cost 60,000 gp
Robe, Monk's	moderate transmutation	10th	body	13,000 gp	1 lb	This simple brown robe, when worn, confers great ability in unarmed combat. If the wearer has levels in monk, her AC and unarmed damage is treated as a monk of five levels higher. If donned by a character with the Stunning Fist feat, the robe lets her make one additional stunning attack per day. If the character is not a monk, she gains the AC and unarmed damage of a 5th-level monk (although she does not add her Wisdom bonus to her AC). This ACbonus functions just like the monk's AC bonus.	Craft Wondrous Item, righteous might or transformation; Cost 6,500 gp
Robe of Scintillating Colors	moderate illusion	11th	body	27,000 gp	1 lb	The wearer of this robe can cause the garment to display a shifting pattern of incredible hues, color after color cascading from the upper part of the robe to the hem in sparkling rainbows of dazzling light. The colors daze those near the wearer, conceal the wearer, and illuminate the surroundings. It takes 1 full round after the wearer speaks the command word for the colors to start flowing on the robe. The colors create the equivalent of a gaze attack with a 30-foot range. Those who look at the wearer are dazed for 1d4+1 rounds (Will DC 16 negates). This is a mind-affecting pattern effect.  Every round of continuous scintillation of the robe gives the wearer better concealment. The miss chance on attacks against the wearer starts at 10% and increases by 10% each round until it reaches 50% (total concealment).  The robe illuminates a 30-foot radius continuously.  The effect can be used no more than a total of 10 rounds per day.	Craft Wondrous Item, blur, rainbow pattern; Cost 13,500 gp
Robe of Stars	strong varied	15th	body	58,000 gp	1 lb	This garment is typically black or dark blue and embroidered with small white or silver stars. The robe has three magical powers.  It enables its wearer to travel physically to the Astral Plane, along with all that she is wearing or carrying. It gives its wearer a +1 luck bonus on all saving throws. Its wearer can use up to six of the embroidered stars on the chest portion of the robe as +5 shuriken. The robe grants its wearer proficiency with such weapons. Each shuriken disappears after it is used. The stars are replenished once per month.	Craft Wondrous Item, magic missile, astral projection or plane shift; Cost 29,000 gp
Robe of Usefull Items	moderate transmutation	9th	body	7,000 gp	1 lb	This appears to be an unremarkable robe, but a character who dons it notes that it is adorned with small cloth patches of various shapes. Only the wearer of the robe can see these patches, recognize them for what items they become, and detach them. One patch can be detached each round. Detaching a patch causes it to become an actual item, as indicated below. A newly created robe of useful items always has two each of the following patches:  Dagger Bullseye lantern (full and lit) Mirror (a highly polished 2-foot-by-4-foot steel mirror) Pole (10-foot length) Hempen rope (50-foot coil) Sack In addition, the robe has several other patches. Roll 4d4 for the number of other patches and then roll for each patch on the table below to determine its nature.  d%        Result 01–08        Bag of 100 gold pieces 09–15        Coffer, silver (6 in. by 6 in. by 1 ft.), 500 gp value 16–22        Door, iron (up to 10 ft. wide and 10 ft. high and barred on one side—must be placed upright, attaches and hinges itself) 23–30        Gems, 10 (100 gp value each) 31–44        Ladder, wooden (24 ft. long) 45–51        Mule (with saddle bags) 52–59        Pit, open (10 ft. by 10 ft. by 10 ft.) 60–68        Potion of cure serious wounds 69–75        Rowboat (12 ft. long) 76–83        Minor scroll of one randomly determined spell 84–90        War dogs, pair (treat as riding dogs) 91–96        Window (2 ft. by 4 ft., up to 2 ft. deep) 97–100        Portable ram Multiple items of the same kind are permissible. Once removed, a patch cannot be replaced	Craft Wondrous Item, fabricate; Cost 3,500 gp
Rope of Climbing	faint transmutation	3rd	-	3,000 gp	3 lbs	A 60-foot-long rope of climbing is no thicker than a wand, but it is strong enough to support 3,000 pounds. Upon command, the rope snakes forward, upward, downward, or in any other direction at 10 feet per round, attaching itself securely wherever its owner desires. It can unfasten itself and return in the same manner.  A rope of climbing can be commanded to knot or unknot itself. This causes large knots to appear at 1-foot intervals along the rope. Knotting shortens the rope to a 50-foot length until the knots are untied, but lowers the DC of Climb checks while using it by 10. A creature must hold one end of the rope when its magic is invoked.	Craft Wondrous Item, animate rope; Cost 1,500 gp
Rope of Entanglement	strong transmutation	12th	-	21,000 gp	5 lbs	A rope of entanglement looks just like any other hempen rope about 30 feet long. Upon command, the rope lashes forward 20 feet or upward 10 feet to entangle a victim. An entangled creature can break free with a DC 20 Strength check or a DC 20 Escape Artist check.  A rope of entanglement has AC 22, 12 hit points, hardness 10, and damage reduction 5/slashing. The rope repairs damage to itself at a rate of 1 point per 5 minutes, but if a rope of entanglement is severed (all 12 hit points lost to damage), it is destroyed.	Craft Wondrous Item, animate objects, animate rope or entangle; Cost 10,500 gp
Salve of Slipperiness	moderate conjuration	6th	-	1,000 gp	-	This substance provides a +20 competence bonus on all Escape Artist checks and combat maneuver checks made to escape from a grapple. The salve also grants a +10 competence bonus to the wearer's Combat Maneuver Defense for the purpose of avoiding grapple attempts. In addition, such obstructions as webs (magical or otherwise) do not affect an anointed individual. Magic ropes and the like do not avail against this salve. If it is smeared on a floor or on steps, the area should be treated as a long-lasting grease spell. The salve requires 8 hours to wear off normally, or it can be wiped off with an alcohol solution (even wine).  Salve of slipperiness is needed to coat the inside of a container meant to hold sovereign glue.	Craft Wondrous Item, grease; Cost 500 gp
Scabbard of Keen Edges	faint transmutation	5th	-	16,000 gp	1 lb	This scabbard can shrink or enlarge to accommodate any knife, dagger, sword, or similar weapon up to and including a greatsword. Up to three times per day on command, the scabbard casts keen edge on any blade placed within it.	Craft Wondrous Item, keen edge; Cost 8,000 gp
Scarab of Protection	strong abjuration and necromancy	18th	neck	38,000 gp	-	This device appears to be a silver medallion in the shape of a beetle. If it is held for 1 round, an inscription appears on its surface letting the holder know that it is a protective device.  The scarab's possessor gains spell resistance 20. The scarab can also absorb energy-draining attacks, death effects, and negative energy effects. Upon absorbing 12 such attacks, the scarab turns to powder and is destroyed.	Craft Wondrous Item, death ward, spell resistance; Cost 19,000 gp
Scarab, Golembane	moderate divination	8th	neck	2,500 gp	-	This beetle-shaped pin enables its wearer to detect any golem within 60 feet, although he must concentrate (a standard action) in order for the detection to take place. A scarab enables its possessor to combat golems with weapons, unarmed attacks, or natural weapons as if those golems had no damage reduction.	Craft Wondrous Item, detect magic, creator must be at least 10th level; Cost 1,250 gp
Silversheen	faint transmutation	5th	-	250 gp	-	This shimmering paste-like substance can be applied to a weapon as a standard action. It gives the weapon the properties of alchemical silver for 1 hour, replacing the properties of any other special material it might have. One vial coats a single melee weapon or 20 units of ammunition.	Craft Wondrous Item; Cost 125 gp
Slippers of Spider Climbing	faint transmutation;	4th	feet	4,800 gp	1/2 lb	When worn, a pair of these slippers enables movement on vertical surfaces or even upside down along ceilings, leaving the wearer's hands free. Her climb speed is 20 feet. Severely slippery surfaces—icy, oiled, or greased surfaces—make these slippers useless. The slippers can be used for 10 minutes per day, split up as the wearer chooses (minimum 1 minute per use).	Craft Wondrous Item, spider climb; Cost 2,400 gp
Sovereign Glue	strong transmutation	20th	-	2,400 gp (per ounce)	-	This pale amber substance is thick and viscous. Because of its particular powers, it can be contained only in a flask whose inside has been coated with 1 ounce of salve of slipperiness, and each time any of the bonding agent is poured from the flask, a new application of the salve of slipperiness must be put in the flask within 1 round to prevent the remaining glue from adhering to the side of the container. A flask of sovereign glue, when found, holds anywhere from 1 to 7 ounces of the stuff (1d8–1, minimum 1), with the other ounce of the flask's capacity taken up by the salve of slipperiness. One ounce of this adhesive covers 1 square foot of surface, bonding virtually any two substances together in a permanent union. The glue takes 1 round to set. If the objects are pulled apart (a move action) before that time has elapsed, that application of the glue loses its stickiness and is worthless. If the glue is allowed to set, then attempting to separate the two bonded objects has no effect, except when universal solvent is applied to the bond. Sovereign glue is dissolved by universal solvent.	Craft Wondrous Item, make whole; Cost 1,200 gp
Stone of Alarm	faint abjuration	3rd	-	2,700 gp	2 lb	This stone cube, when given the command word, affixes itself to any object. If that object is touched thereafter by anyone who does not first speak that same command word, the stone emits a piercing screech for 1 hour that can be heard up to a quarter-mile away (assuming no intervening barriers)	Craft Wondrous Item, alarm; Cost 1,350 gp
Stone of Goodluck (Luckstone)	faint evocation	5th	-	20,000 gp	-	This small bit of agate grants its possessor a +1 luck bonus on saving throws, ability checks, and skill checks	Craft Wondrous Item, divine favor; Cost 10,000 gp
Stone Salve	strong abjuration and transmutation	13th	-	4,000 gp	-	This ointment has two uses. If an ounce of it is applied to the flesh of a petrified creature, it returns the creature to flesh as the stone to flesh spell. If an ounce of it is applied to the flesh of a nonpetrified creature, it protects the creature as a stoneskin spell.	Craft Wondrous Item, stone to flesh, stoneskin; Cost 2,000 gp
Strand of Prayer Beads	faint, moderate or strong (many schools)	1st (blessing), 5th (healing), 7th (smiting), 9th (karma), 11th (wind walking), 17th (summons)	-	9,600 gp (lesser), 45,800 gp (standard), 95,800 gp (greater)	1/2 lb	This item appears to be nothing more than a string of prayer beads until the owner casts a divine spell while the beads are carried. Once that occurs, the owner instantly knows the powers of the prayer beads and understands how to activate the strand's special magical beads. Each strand includes two or more special beads, each with a different magic power selected from the following list.  Special Bead Type        Special Bead Ability Bead of blessing        Wearer can cast bless. Bead of healing        Wearer can cast his choice of cure serious wounds, remove blindness/deafness, or remove disease. Bead of karma        Wearer casts his spells at +4 caster level. Effect lasts 10 minutes. Bead of smiting        Wearer can cast chaos hammer, holy smite, order's wrath, or unholy blight (Will DC 17 partial). Bead of summons        Summons a powerful creature of appropriate alignment from the Outer Planes (an angel, devil, etc.) to aid the wearer for 1 day. (If the wearer uses the bead of summons to summon a deity's emissary frivolously, the deity takes that character's items and places a geas upon him as punishment at the very least.) Bead of wind walking        Wearer can cast wind walk. A lesser strand of prayer beads has a bead of blessing and a bead of healing. A strand of prayer beads has a bead of healing, a bead of karma, and a bead of smiting. A greater strand of prayer beads has a bead of healing, a bead of karma, a bead of summons, and a bead of wind walking.  Each special bead can be used once per day, except for the bead of summons, which works only once and then becomes nonmagical. The beads of blessing, smiting, and wind walking function as spell trigger items; the beads of karma and summons can be activated by any character capable of casting divine spells. The owner need not hold or wear the strand of prayer beads in any specific location, as long as he carries it somewhere on his person.  The power of a special bead is lost if it is removed from the strand. Reduce the price of a strand of prayer beads that is missing one or more beads by the following amounts: bead of blessing –600 gp, bead of healing –9,000 gp, bead of karma –20,000 gp, bead of smiting –16,800 gp, bead of summons –20,000 gp, bead of wind walking –46,800 gp.	Craft Wondrous Item and one of the following spells per bead, as appropriate: bless (blessing); cure serious wounds, remove blindness/ deafness, or remove disease (healing); righteous might (karma); gate (summons); chaos hammer, holy smite, order's wrath, or unholy blight (smiting), wind walk (wind walking); Cost 4,800 gp (lesser), 22,900 gp (standard), 47,900 gp (greater)
Sustaining Spoon	faint conjuration	5th	-	5,400 gp	-	If this unremarkable appearing utensil is placed in an empty container, the vessel fills with a thick, pasty gruel. Although the gruel tastes like warm, wet cardboard, it is highly nourishing and contains everything necessary to sustain any herbivorous, omnivorous, or carnivorous creature. The spoon can produce sufficient gruel each day to feed up to four humans	Craft Wondrous Item, create food and water; Cost 2,700 gp
Tome of Clear Thought	strong evocation (if miracle is used)	17th	-	27,500 gp (+1), 55,000 gp (+2), 82,500 gp (+3), 110,000 gp (+4), 137,500 gp (+5)	5 lbs	This heavy book contains instruction on improving memory and logic, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of tome) to herIntelligence score. Once the book is read, the magic disappears from the pages and it becomes a normal book.	Craft Wondrous Item, miracle or wish; Cost 26,250 gp (+1), 52,500 gp (+2), 78,750 gp (+3), 105,000 gp (+4), 131,250 gp (+5)
Tome of Leadership and Influence	strong evocation (if miracle is used)	17th	-	27,500 gp (+1), 55,000 gp (+2), 82,500 gp (+3), 110,000 gp (+4), 137,500 gp (+5)	5 lbs	This ponderous book details suggestions for persuading and inspiring others, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of tome) to hisCharisma score. Once the book is read, the magic disappears from the pages and it becomes a normal book.	Craft Wondrous Item, miracle or wish; Cost 26,250 gp (+1), 52,500 gp (+2), 78,750 gp (+3), 105,000 gp (+4), 131,250 gp (+5)
Tome of Understanding	strong evocation (if miracle is used)	17th	-	27,500 gp (+1), 55,000 gp (+2), 82,500 gp (+3), 110,000 gp (+4), 137,500 gp (+5)	5 lbs	This thick book contains tips for improving instinct and perception, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of tome) to her Wisdomscore. Once the book is read, the magic disappears from the pages and it becomes a normal book.	Craft Wondrous Item, miracle or wish; Cost 26,250 gp (+1), 52,500 gp (+2), 78,750 gp (+3), 105,000 gp (+4), 131,250 gp (+5)
Unguent of Timelessness	faint transmutation	3rd	-	150 gp	-	When applied to any matter that was once alive, such as wood, paper, or a dead body, this ointment allows that substance to resist the passage of time. Each year of actual time affects the substance as if only a day had passed. The coated object gains a +1 resistance bonus on all saving throws. The unguent never wears off, although it can be magically removed (by dispelling the effect, for instance). One flask contains enough material to coat eight Medium or smaller objects. A Large object counts as two Medium objects, and a Huge object counts as four Medium objects.	Craft Wondrous Item, gentle repose; Cost 75 gp
Universal Solvent	faint transmutation	3rd	-	50 gp	-	This substance has the unique property of being able to dissolve sovereign glue, tanglefoot bags, and all other adhesives. Applying the solvent is a standard action.	Craft Wondrous Item, acid arrow; Cost 25 gp
Vest of Escape	faint conjuration and transmutation	4th	chest	5,200 gp	-	Hidden within secret pockets of this simple silk vest are magic lockpicks that provide a +4 competence bonus on Disable Device checks. The vest also grants its wearer a +6 competence bonus on Escape Artist checks	Craft Wondrous Item, knock, grease; Cost 2,600 gp
Vestment, Druid's	moderate transmutation	10th	body	3,750 gp	-	This light garment is worn over normal clothing or armor. Most such vestments are green, embroidered with plant or animal motifs. When this item is worn by a character with the wild shape ability, the character can use that ability one additional time each day	Craft Wondrous Item, polymorph or wild shape ability; Cost 1,375 gp
Well of Many Worlds	strong conjuration	17th	-	82,000 gp	-	This strange, interdimensional device looks just like a portable hole. Anything placed within it is immediately cast to another world—a parallel world, another planet, or a different plane (chosen randomly). If the well is moved, it opens to a new plane (also randomly determined). It can be picked up, folded, or rolled, just as a portable hole can be. Objects from the world the well touches can come through the opening just as easily—it is a two-way portal.	Craft Wondrous Item, gate; Cost 41,000 gp
Wind Fan	faint evocation	5th	none	5,500 gp	-	A wind fan appears to be nothing more than a wood and papyrus or cloth instrument with which to create a cooling breeze. By uttering the command word, its possessor causes the fan to duplicate a gust of wind spell. The fan can be used once per day with no risk. If it is used more frequently, there is a 20% cumulative chance per usage during that day that the device tears into useless, nonmagical tatters	Craft Wondrous Item, gust of wind; Cost 2,750 gp
Wings of Flying	moderate transmutation	10th	shoulders	54,000 gp	2 lbs	A pair of these wings might appear to be nothing more than a plain cloak of old, black cloth, or they could be as elegant as a long cape of blue feathers. When the wearer speaks the command word, the cloak turns into a pair of bat or bird wings that empower her to fly with a speed of 60 feet (average maneuverability), also granting a +5 competence bonus on Fly skill checks.	Craft Wondrous Item, fly; Cost 27,000 gp
